* Measurement data measured by REW V5.31.3
* Source: Pro Tools Audio Bridge 16, Pro Tools Audio Bridge 16, 2, volume: no control
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Dec 10, 2024 11:18:04 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Bad Cat Matching Test HR
* Smoothing: None
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
87.158209, 111.206, -42.7648
87.524420, 111.291, -43.8870
87.890631, 111.373, -45.0147
88.256841, 111.452, -46.1425
88.623052, 111.530, -47.2684
88.989263, 111.606, -48.3917
89.355474, 111.680, -49.5111
89.721685, 111.753, -50.6246
90.087896, 111.824, -51.7299
90.454107, 111.893, -52.8278
90.820318, 111.963, -53.9222
91.186529, 112.032, -55.0197
91.552740, 112.100, -56.1260
91.918951, 112.166, -57.2439
92.285162, 112.229, -58.3718
92.651373, 112.289, -59.5054
93.017584, 112.346, -60.6395
93.383795, 112.399, -61.7697
93.750006, 112.450, -62.8930
94.116217, 112.497, -64.0070
94.482428, 112.542, -65.1106
94.848639, 112.585, -66.2027
95.214850, 112.625, -67.2834
95.581061, 112.663, -68.3528
95.947272, 112.700, -69.4111
96.313483, 112.734, -70.4585
96.679694, 112.767, -71.4960
97.045905, 112.799, -72.5252
97.412116, 112.830, -73.5484
97.778327, 112.859, -74.5673
98.144538, 112.887, -75.5812
98.510749, 112.912, -76.5866
98.876960, 112.935, -77.5782
99.243170, 112.956, -78.5508
99.609381, 112.975, -79.5016
99.975592, 112.992, -80.4304
100.341803, 113.008, -81.3391
100.708014, 113.024, -82.2300
101.074225, 113.038, -83.1047
101.440436, 113.052, -83.9645
101.806647, 113.066, -84.8110
102.172858, 113.079, -85.6464
102.539069, 113.092, -86.4726
102.905280, 113.105, -87.2908
103.271491, 113.118, -88.1006
103.637702, 113.130, -88.9009
104.003913, 113.142, -89.6917
104.370124, 113.153, -90.4746
104.736335, 113.164, -91.2524
105.102546, 113.174, -92.0279
105.468757, 113.183, -92.8017
105.834968, 113.191, -93.5722
106.201179, 113.197, -94.3370
106.567390, 113.204, -95.0956
106.933601, 113.210, -95.8501
107.299812, 113.217, -96.6051
107.666023, 113.224, -97.3645
108.032234, 113.230, -98.1295
108.398445, 113.234, -98.8976
108.764656, 113.236, -99.6651
109.130867, 113.237, -100.4301
109.497078, 113.238, -101.1952
109.863289, 113.238, -101.9665
110.229500, 113.238, -102.7500
110.595710, 113.238, -103.5482
110.961921, 113.236, -104.3588
111.328132, 113.234, -105.1768
111.694343, 113.231, -105.9984
112.060554, 113.228, -106.8235
112.426765, 113.226, -107.6555
112.792976, 113.224, -108.4986
113.159187, 113.221, -109.3554
113.525398, 113.219, -110.2259
113.891609, 113.216, -111.1088
114.257820, 113.213, -112.0024
114.624031, 113.211, -112.9063
114.990242, 113.210, -113.8198
115.356453, 113.210, -114.7421
115.722664, 113.213, -115.6713
116.088875, 113.217, -116.6051
116.455086, 113.223, -117.5406
116.821297, 113.231, -118.4744
117.187508, 113.241, -119.4027
117.553719, 113.252, -120.3223
117.919930, 113.266, -121.2331
118.286141, 113.282, -122.1385
118.652352, 113.301, -123.0447
119.018563, 113.321, -123.9560
119.384774, 113.340, -124.8704
119.750985, 113.358, -125.7792
120.117196, 113.374, -126.6695
120.483407, 113.388, -127.5315
120.849618, 113.402, -128.3634
121.215829, 113.418, -129.1726
121.582040, 113.433, -129.9708
121.948250, 113.449, -130.7684
122.314461, 113.463, -131.5698
122.680672, 113.473, -132.3743
123.046883, 113.481, -133.1787
123.413094, 113.486, -133.9812
123.779305, 113.488, -134.7832
124.145516, 113.490, -135.5880
124.511727, 113.490, -136.3995
124.877938, 113.490, -137.2209
125.244149, 113.489, -138.0540
125.610360, 113.488, -138.8997
125.976571, 113.487, -139.7568
126.342782, 113.486, -140.6224
126.708993, 113.485, -141.4917
127.075204, 113.486, -142.3600
127.441415, 113.488, -143.2245
127.807626, 113.492, -144.0838
128.173837, 113.498, -144.9371
128.540048, 113.505, -145.7821
128.906259, 113.512, -146.6133
129.272470, 113.518, -147.4246
129.638681, 113.523, -148.2118
130.004892, 113.528, -148.9756
130.371103, 113.531, -149.7218
130.737314, 113.533, -150.4579
131.103525, 113.531, -151.1891
131.469736, 113.526, -151.9167
131.835947, 113.516, -152.6402
132.202158, 113.502, -153.3607
132.568369, 113.485, -154.0842
132.934579, 113.466, -154.8214
133.300790, 113.447, -155.5825
133.667001, 113.425, -156.3723
134.033212, 113.403, -157.1881
134.399423, 113.380, -158.0215
134.765634, 113.358, -158.8643
135.131845, 113.341, -159.7127
135.498056, 113.328, -160.5666
135.864267, 113.321, -161.4256
136.230478, 113.317, -162.2836
136.596689, 113.314, -163.1279
136.962900, 113.312, -163.9426
137.329111, 113.311, -164.7165
137.695322, 113.309, -165.4480
138.061533, 113.307, -166.1454
138.427744, 113.304, -166.8212
138.793955, 113.296, -167.4859
139.160166, 113.282, -168.1448
139.526377, 113.261, -168.8001
139.892588, 113.236, -169.4549
140.258799, 113.206, -170.1168
140.625010, 113.175, -170.7966
140.991221, 113.144, -171.5031
141.357432, 113.113, -172.2388
141.723643, 113.084, -172.9982
142.089854, 113.056, -173.7695
142.456065, 113.032, -174.5399
142.822276, 113.012, -175.2986
143.188487, 112.996, -176.0375
143.554698, 112.982, -176.7511
143.920909, 112.970, -177.4351
144.287119, 112.956, -178.0867
144.653330, 112.939, -178.7067
145.019541, 112.919, -179.3002
145.385752, 112.894, -179.8768
145.751963, 112.864, 179.5513
146.118174, 112.831, 178.9720
146.484385, 112.794, 178.3765
146.850596, 112.755, 177.7603
147.216807, 112.716, 177.1237
147.583018, 112.680, 176.4712
147.949229, 112.647, 175.8101
148.315440, 112.619, 175.1503
148.681651, 112.594, 174.5032
149.047862, 112.571, 173.8810
149.414073, 112.549, 173.2938
149.780284, 112.526, 172.7473
150.146495, 112.499, 172.2391
150.512706, 112.470, 171.7586
150.878917, 112.436, 171.2889
151.245128, 112.398, 170.8124
151.611339, 112.356, 170.3158
151.977550, 112.312, 169.7932
152.343761, 112.268, 169.2457
152.709972, 112.226, 168.6793
153.076183, 112.188, 168.1024
153.442394, 112.156, 167.5260
153.808605, 112.128, 166.9645
154.174816, 112.102, 166.4345
154.541027, 112.075, 165.9512
154.907238, 112.047, 165.5213
155.273448, 112.016, 165.1394
155.639659, 111.982, 164.7879
156.005870, 111.945, 164.4432
156.372081, 111.904, 164.0837
156.738292, 111.860, 163.6959
157.104503, 111.814, 163.2763
157.470714, 111.768, 162.8301
157.836925, 111.724, 162.3687
158.203136, 111.684, 161.9077
158.569347, 111.648, 161.4647
158.935558, 111.616, 161.0557
159.301769, 111.586, 160.6896
159.667980, 111.557, 160.3646
160.034191, 111.527, 160.0693
160.400402, 111.495, 159.7883
