* Measurement data measured by REW V5.31.3
* Source: Pro Tools Audio Bridge 16, Pro Tools Audio Bridge 16, 2, volume: no control
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Dec 10, 2024 11:14:11 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Bad Cat Matching Test Real Dec 10
* Smoothing: None
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
87.158209, 103.964, -178.1620
87.524420, 104.014, -179.6058
87.890631, 104.070, 178.9481
88.256841, 104.131, 177.4767
88.623052, 104.191, 175.9857
88.989263, 104.249, 174.5057
89.355474, 104.304, 173.0703
89.721685, 104.362, 171.6934
90.087896, 104.422, 170.3619
90.454107, 104.486, 169.0485
90.820318, 104.549, 167.7323
91.186529, 104.609, 166.4124
91.552740, 104.665, 165.1011
91.918951, 104.725, 163.8047
92.285162, 104.794, 162.5076
92.651373, 104.877, 161.1721
93.017584, 104.973, 159.7586
93.383795, 105.076, 158.2515
93.750006, 105.176, 156.6726
94.116217, 105.265, 155.0754
94.482428, 105.341, 153.5227
94.848639, 105.402, 152.0626
95.214850, 105.454, 150.7144
95.581061, 105.502, 149.4677
95.947272, 105.551, 148.2933
96.313483, 105.605, 147.1551
96.679694, 105.669, 146.0170
97.045905, 105.745, 144.8472
97.412116, 105.834, 143.6212
97.778327, 105.934, 142.3296
98.144538, 106.040, 140.9839
98.510749, 106.150, 139.6130
98.876960, 106.260, 138.2472
99.243170, 106.373, 136.8952
99.609381, 106.488, 135.5325
99.975592, 106.603, 134.1113
100.341803, 106.713, 132.5923
100.708014, 106.807, 130.9760
101.074225, 106.883, 129.3109
101.440436, 106.946, 127.6682
101.806647, 107.006, 126.0968
102.172858, 107.077, 124.5870
102.539069, 107.167, 123.0737
102.905280, 107.269, 121.4839
103.271491, 107.365, 119.7956
103.637702, 107.437, 118.0653
