* Measurement data measured by REW V5.31.3
* Source: Pro Tools Audio Bridge 2-B, Pro Tools Audio Bridge 2-B, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Dec 11, 2024 1:23:02 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Bad Cat Matching Test NAM Dec 11
* Smoothing: None
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
87.158209, 103.556, -175.3212
87.524420, 103.628, -176.9421
87.890631, 103.701, -178.5505
88.256841, 103.774, 179.8549
88.623052, 103.847, 178.2750
88.989263, 103.921, 176.7111
89.355474, 103.997, 175.1631
89.721685, 104.073, 173.6310
90.087896, 104.151, 172.1141
90.454107, 104.229, 170.6111
90.820318, 104.308, 169.1207
91.186529, 104.386, 167.6423
91.552740, 104.464, 166.1760
91.918951, 104.542, 164.7240
92.285162, 104.619, 163.2889
92.651373, 104.696, 161.8728
93.017584, 104.774, 160.4756
93.383795, 104.854, 159.0938
93.750006, 104.936, 157.7213
94.116217, 105.021, 156.3511
94.482428, 105.107, 154.9790
94.848639, 105.193, 153.6044
95.214850, 105.278, 152.2309
95.581061, 105.361, 150.8638
95.947272, 105.442, 149.5067
96.313483, 105.523, 148.1592
96.679694, 105.604, 146.8170
97.045905, 105.686, 145.4743
97.412116, 105.767, 144.1273
97.778327, 105.849, 142.7754
98.144538, 105.930, 141.4211
98.510749, 106.012, 140.0671
98.876960, 106.095, 138.7131
99.243170, 106.178, 137.3556
99.609381, 106.262, 135.9896
99.975592, 106.345, 134.6115
100.341803, 106.427, 133.2213
100.708014, 106.506, 131.8229
101.074225, 106.583, 130.4211
101.440436, 106.659, 129.0193
101.806647, 106.733, 127.6180
102.172858, 106.807, 126.2152
102.539069, 106.880, 124.8088
102.905280, 106.953, 123.3975
103.271491, 107.024, 121.9821
103.637702, 107.094, 120.5647
104.003913, 107.163, 119.1474
104.370124, 107.230, 117.7314
104.736335, 107.296, 116.3169
105.102546, 107.360, 114.9042
105.468757, 107.421, 113.4952
105.834968, 107.480, 112.0938
106.201179, 107.536, 110.7054
106.567390, 107.590, 109.3354
106.933601, 107.643, 107.9864
107.299812, 107.696, 106.6565
107.666023, 107.749, 105.3406
108.032234, 107.802, 104.0329
108.398445, 107.855, 102.7297
108.764656, 107.906, 101.4305
109.130867, 107.957, 100.1368
109.497078, 108.007, 98.8480
109.863289, 108.055, 97.5602
110.229500, 108.103, 96.2669
110.595710, 108.148, 94.9631
110.961921, 108.190, 93.6489
111.328132, 108.228, 92.3309
111.694343, 108.262, 91.0189
112.060554, 108.291, 89.7203
112.426765, 108.319, 88.4377
112.792976, 108.346, 87.1678
113.159187, 108.371, 85.9064
113.525398, 108.394, 84.6527
113.891609, 108.414, 83.4108
114.257820, 108.432, 82.1873
114.624031, 108.449, 80.9869
114.990242, 108.465, 79.8082
115.356453, 108.482, 78.6446
115.722664, 108.499, 77.4882
116.088875, 108.514, 76.3351
116.455086, 108.528, 75.1880
116.821297, 108.540, 74.0553
117.187508, 108.549, 72.9457
117.553719, 108.559, 71.8632
117.919930, 108.570, 70.8046
118.286141, 108.583, 69.7610
118.652352, 108.597, 68.7240
119.018563, 108.611, 67.6899
119.384774, 108.624, 66.6630
119.750985, 108.635, 65.6521
120.117196, 108.643, 64.6655
120.483407, 108.651, 63.7056
120.849618, 108.659, 62.7680
121.215829, 108.668, 61.8441
121.582040, 108.677, 60.9261
121.948250, 108.687, 60.0103
122.314461, 108.697, 59.0974
122.680672, 108.707, 58.1891
123.046883, 108.717, 57.2863
123.413094, 108.728, 56.3876
